"Genus"	"A01_T1"	"A01_T2"	"A01_T3"	"A01_T4"	"A01_T5"	"A01_T6"	"A01_T7"	"A01_T8"	"A02_T1"	"A02_T2"	"A02_T3"	"A02_T4"	"A02_T5"	"A02_T6"	"A02_T7"	"A02_T8"	"A03_T1"	"A03_T2"	"A03_T3"	"A03_T4"	"A03_T5"	"A03_T6"	"A03_T7"	"A04_T1"	"A04_T2"	"A04_T3"	"A04_T4"	"A04_T5"	"A04_T6"	"A04_T8"	"A05_T1"	"A05_T2"	"A05_T3"	"A05_T4"	"A05_T5"	"A05_T6"	"A05_T7"	"A05_T8"	"A06_T1"	"A06_T2"	"A06_T3"	"A06_T4"	"A07_T1"	"A07_T2"	"A07_T3"	"A07_T4"	"A07_T5"	"A07_T6"	"A07_T7"	"A07_T8"	"A08_T1"	"A08_T2"	"A08_T3"	"A08_T4"	"A08_T5"	"A08_T6"	"A08_T7"	"A08_T8"	"A09_T1"	"A09_T2"	"A09_T3"	"A09_T4"	"A09_T5"	"A09_T6"	"A09_T7"	"A09_T8"	"A10_T1"	"A10_T2"	"A10_T3"	"A10_T4"	"E01_T1"	"E01_T2"	"E01_T3"	"E01_T4"	"E01_T5"	"E01_T6"	"E01_T7"	"E01_T8"	"E02_T1"	"E02_T2"	"E02_T3"	"E02_T4"	"E02_T5"	"E02_T6"	"E02_T7"	"E02_T8"	"E03_T1"	"E03_T2"	"E03_T3"	"E03_T4"	"E03_T5"	"E03_T6"	"E03_T7"	"E03_T8"	"E04_T1"	"E04_T2"	"E04_T3"	"E04_T4"	"E04_T5"	"E04_T6"	"E04_T7"	"E04_T8"	"E05_T1"	"E05_T2"	"E05_T3"	"E05_T4"	"E05_T5"	"E05_T6"	"E05_T7"	"E05_T8"	"E06_T1"	"E06_T2"	"E06_T3"	"E06_T4"	"E06_T5"	"E06_T6"	"E06_T7"	"E07_T1"	"E07_T2"	"E07_T3"	"E07_T4"	"E07_T5"	"E07_T6"	"E07_T7"	"E08_T1"	"E08_T2"	"E08_T3"	"E08_T4"	"E09_T1"	"E09_T2"	"E09_T3"	"E09_T4"	"E09_T5"	"E09_T6"	"E09_T7"	"E09_T8"	"E10_T1"	"E10_T2"	"E10_T3"	"E10_T4"	"E10_T5"	"E10_T6"	"E10_T7"	"E10_T8"	"I01_T1"	"I01_T2"	"I01_T3"	"I01_T4"	"I01_T5"	"I01_T6"	"I01_T7"	"I01_T8"	"I02_T1"	"I02_T2"	"I02_T3"	"I02_T4"	"I02_T5"	"I02_T6"	"I02_T7"	"I02_T8"	"I03_T1"	"I03_T2"	"I03_T3"	"I03_T4"	"I03_T5"	"I03_T6"	"I03_T7"	"I03_T8"	"I04_T1"	"I04_T2"	"I05_T1"	"I05_T2"	"I05_T3"	"I05_T4"	"I05_T5"	"I05_T6"	"I05_T7"	"I05_T8"	"I06_T1"	"I06_T2"	"I06_T3"	"I06_T4"	"I06_T5"	"I06_T6"	"I06_T7"	"I06_T8"	"I07_T1"	"I07_T2"	"I07_T3"	"I07_T4"	"I07_T5"	"I07_T6"	"I07_T7"	"I07_T8"	"I08_T1"	"I08_T2"	"I08_T3"	"I08_T4"	"I08_T5"	"I08_T6"	"I08_T7"	"I08_T8"	"I09_T1"	"I09_T2"	"I09_T3"	"I09_T4"	"I09_T5"	"I09_T6"	"I09_T7"	"I09_T8"	"I10_T1"	"I10_T2"	"I10_T3"	"I10_T4"	"I10_T5"	"I10_T6"	"I10_T7"	"I10_T8"
"g_Abiotrophia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"g_Acetanaerobacterium"	1	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	0	0	0	0	1	0	1	1	0	1	1	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1	1	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	1	1	1	0	1	0	0	1	0	1	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	1	1	1	0	0	1	1
"g_Acetitomaculum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"g_Acidaminococcus"	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
"g_Acinetobacter"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
"g_Actinobacillus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	1	0	1	1	0	0	0	1
"g_Actinomyces"	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1
"g_Actinotignum"	1	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"g_Adlercreutzia"	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	0	0	0	1	0	1	1	1	0	1	1	1	1	1	1	0	1	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	0	1	1	1	0	0	0	0	0	1	0	0	1	1	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	1	0	0	1	1	1	0	1	0	1	1	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1
"g_Aeromonas"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
