Sample	Attenuation	Buffering
16S_A01T1	2.57777930047659	1.80987049458431
16S_A01T2	3.82093248114009	1.63813300281332
16S_A01T3	3.0610830447842	1.90572843636923
16S_A01T4	3.57405358434031	1.92859350412898
16S_A01T5	3.23755321276153	1.89865938702764
16S_A01T6	3.33960673730677	1.83991769304449
16S_A01T7	3.23985439357098	1.86751958794251
16S_A01T8	2.7072231922448	1.9239452712496
16S_A02T1	2.48621453213575	1.96875594756917
16S_A02T2	3.47777841249426	1.91298781058362
16S_A02T3	3.42730230393259	1.83803399752263
16S_A02T4	3.06475794741168	1.92617281303111
16S_A02T5	2.95993091967685	1.86815747853299
16S_A02T6	3.2540770304701	1.85442662082159
16S_A02T7	2.72215296167112	1.86865332513934
16S_A02T8	2.90985152432685	1.97904947685728
16S_A03T1	3.51329245291187	1.70907488125166
16S_A03T2	3.65803965091224	1.88950971660212
16S_A03T3	3.07149608735871	1.90354710728578
16S_A03T4	3.15184380328145	1.92082532039386
16S_A03T5	3.52630907207868	1.92211888955457
16S_A03T6	3.45720131452855	1.7903359486973
16S_A03T7	3.34575066136571	1.82783103108087
16S_A04T1	3.33814907833747	1.88853829945627
16S_A04T2	3.30284474044201	1.93572465303138
16S_A04T3	3.29069335642073	1.87705443703791
16S_A04T4	3.63911986072903	1.8805739958245
16S_A04T5	3.80321563894389	1.85785753899015
16S_A04T6	3.45368832792038	1.90450178604501
16S_A04T8	3.17031444388743	1.92459147134644
16S_A05T1	3.62844803274311	1.85636673182519
16S_A05T2	2.80597023066662	1.90821730581748
16S_A05T3	2.71390894570851	1.97014234812723
16S_A05T4	3.58898329171981	1.85035769225851
16S_A05T5	3.07432349375695	1.88531450285769
16S_A05T6	3.2421443498985	1.84991146605299
16S_A05T7	2.53015368090899	1.99089587420607
16S_A05T8	3.40164409186702	1.90291045710764
16S_A06T1	3.46592341671368	1.88834818657027
16S_A06T2	3.25360790625882	1.85540052252224
16S_A06T3	4.00199366097004	1.8049291119593
16S_A06T4	3.60114688767701	1.88336832063992
16S_A07T1	3.1091486568907	1.8330666010299
16S_A07T2	3.61207464227757	1.78889994846565
16S_A07T3	3.6855626549062	1.79406493588202
16S_A07T4	3.43284869163189	1.89639404531531
16S_A07T5	3.85997314284245	1.84256047011783
16S_A07T6	3.32695337325731	1.8386759536836
16S_A07T7	3.74248507859758	1.79215697069208
16S_A07T8	3.83871591491583	1.80005341732142
16S_A08T1	2.74882911183556	1.84873259896239
16S_A08T2	2.78191061416834	1.85683802391461
16S_A08T3	3.26705030190105	1.76859346355187
16S_A08T4	2.70884920753263	1.93037435427379
16S_A08T5	3.43487629049507	1.7804500599159
16S_A08T6	2.77658328278752	1.96418687057593
16S_A08T7	3.08593763853922	1.80767302382857
16S_A08T8	3.67699803393168	1.70857319865136
16S_A09T1	3.16534608995275	1.85131561517029
16S_A09T2	3.35992756621239	1.9077699321296
16S_A09T3	3.78641762005128	1.77833780853811
16S_A09T4	4.01023354488395	1.80158166454388
16S_A09T5	3.53251247979055	1.78447464033569
16S_A09T6	3.27651621710389	1.91262553917375
16S_A09T7	3.5575693233085	1.84389430032422
16S_A09T8	2.78645543829894	2.01314354614171
16S_A10T1	3.28183085724872	1.93638961347521
16S_A10T2	2.22988279653399	1.93985859230977
