original_sample	funct	attenuation	buffering
16S_A01T1	Carbohydrate Metabolism	0.248643651534104	0.9292114568636
16S_A01T1	Lipid Metabolism	0.622091029119122	0.965929219102455
16S_A01T1	Metabolism of Cofactors and Vitamins	0.956178337507292	0.914076710046474
16S_A01T1	Energy Metabolism	0.237835230313703	0.956064818759929
16S_A01T1	Nucleotide Metabolism	0.696817318320936	0.945385901505571
16S_A01T1	Amino Acid Metabolism	0.71866184899812	0.941518003949513
16S_A01T1	Metabolism of Terpenoids and Polyketides	1.14356170252215	0.931574671318699
16S_A01T1	Biosynthesis of Other Secondary Metabolites	0.0102130950415089	0.917030268141801
16S_A01T1	Xenobiotics Biodegradation and Metabolism	0.230898229161553	0.916200871731796
16S_A01T1	Metabolism of Other Amino Acids	0.660107427295959	0.884371661639249
16S_A01T1	Glycan Biosynthesis and Metabolism	0.512521876281494	0.89478432130722
16S_A01T1	Translation	2.45051001236486	0.895828706484671
16S_A01T1	Membrane Transport	0.510827824714633	0.913614981618744
16S_A01T1	Signal Transduction	0.0964167332616925	0.924075017763396
16S_A01T1	Cell Motility	0.0315249497308434	0.926051562814342
16S_A01T1	Folding, Sorting and Degradation	0.8941631418315	0.933596403195093
16S_A01T1	Transcription	1.10007355789522	0.897163291432149
16S_A01T1	Replication and Repair	0.74071563831149	0.906924297011764
16S_A01T1	Cell Growth and Death	0.493158885950978	0.923289826600136
16S_A01T1	Transport and Catabolism	0.775803738212235	0.920882964685549
16S_A01T1	Excretory System	-0.539467908610926	0.916546160722004
16S_A01T1	Digestive System	-0.651530492071821	1.0689175785271
16S_A01T1	Infectious Diseases	0.764365659772263	0.844517359364653
16S_A01T2	Carbohydrate Metabolism	1.71727160910422	0.764785547998105
16S_A01T2	Lipid Metabolism	1.68081855543564	0.830960272179875
16S_A01T2	Metabolism of Cofactors and Vitamins	2.01478019071595	0.812266019203557
16S_A01T2	Energy Metabolism	1.66832343423909	0.834884340637454
16S_A01T2	Nucleotide Metabolism	2.66491875034675	0.706772477236429
16S_A01T2	Amino Acid Metabolism	2.81933747819459	0.703076664216369
16S_A01T2	Metabolism of Terpenoids and Polyketides	2.43615208397134	0.909271670603171
16S_A01T2	Biosynthesis of Other Secondary Metabolites	1.79491213661498	0.717850901364675
16S_A01T2	Xenobiotics Biodegradation and Metabolism	1.95605000360833	0.770379105892938
16S_A01T2	Metabolism of Other Amino Acids	2.25037591119119	0.799594455025224
16S_A01T2	Glycan Biosynthesis and Metabolism	2.31063504966873	0.729709316522076
