ID	A	E	I	DESCRIPTION
p_Firmicutes;c_Clostridia;o_Eubacteriales;f_NA;g_NA	459	253	159	p_Firmicutes;c_Clostridia;o_Eubacteriales;f_NA;g_NA
p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae;g_Escherichia	0	0	2	p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae;g_Escherichia
p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Rikenellaceae;g_Alistipes	172	38	18	p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Rikenellaceae;g_Alistipes
p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Prevotellaceae;g_Prevotella	12	0	0	p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Prevotellaceae;g_Prevotella
p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_NA;g_NA	251	100	96	p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_NA;g_NA
p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides	59	22	42	p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides
p_Firmicutes;c_Clostridia;o_Eubacteriales;f_Oscillospiraceae;g_NA	0	1	0	p_Firmicutes;c_Clostridia;o_Eubacteriales;f_Oscillospiraceae;g_NA
p_Verrucomicrobia;c_Verrucomicrobiae;o_Verrucomicrobiales;f_Akkermansiaceae;g_Akkermansia	1	1	5	p_Verrucomicrobia;c_Verrucomicrobiae;o_Verrucomicrobiales;f_Akkermansiaceae;g_Akkermansia
p_Firmicutes;c_NA;o_NA;f_NA;g_NA	49	31	50	p_Firmicutes;c_NA;o_NA;f_NA;g_NA
p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Rikenellaceae;g_NA	3	14	0	p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Rikenellaceae;g_NA
p_Bacteroidetes;c_NA;o_NA;f_NA;g_NA	6	221	2	p_Bacteroidetes;c_NA;o_NA;f_NA;g_NA
p_Proteobacteria;c_Deltaproteobacteria;o_Desulfovibrionales;f_Desulfovibrionaceae;g_NA	0	4	0	p_Proteobacteria;c_Deltaproteobacteria;o_Desulfovibrionales;f_Desulfovibrionaceae;g_NA
p_Firmicutes;c_Clostridia;o_NA;f_NA;g_NA	7	0	0	p_Firmicutes;c_Clostridia;o_NA;f_NA;g_NA
p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Porphyromonadaceae;g_Porphyromonas	1	0	0	p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Porphyromonadaceae;g_Porphyromonas
p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Muribaculaceae;g_Sodaliphilus	0	1	0	p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Muribaculaceae;g_Sodaliphilus
p_NA;c_NA;o_NA;f_NA;g_NA	0	3	0	p_NA;c_NA;o_NA;f_NA;g_NA
