Taxon	16S_A01T1	16S_A01T2	16S_A01T3	16S_A01T4	16S_A01T5	16S_A01T6	16S_A01T7	16S_A01T8	16S_A02T1	16S_A02T2	16S_A02T3	16S_A02T4	16S_A02T5	16S_A02T6	16S_A02T7	16S_A02T8	16S_A03T1	16S_A03T2	16S_A03T3	16S_A03T4	16S_A03T5	16S_A03T6	16S_A03T7	16S_A04T1	16S_A04T2	16S_A04T3	16S_A04T4	16S_A04T5	16S_A04T6	16S_A04T8	16S_A05T1	16S_A05T2	16S_A05T3	16S_A05T4	16S_A05T5	16S_A05T6	16S_A05T7	16S_A05T8	16S_A06T1	16S_A06T2	16S_A06T3	16S_A06T4	16S_A07T1	16S_A07T2	16S_A07T3	16S_A07T4	16S_A07T5	16S_A07T6	16S_A07T7	16S_A07T8	16S_A08T1	16S_A08T2	16S_A08T3	16S_A08T4	16S_A08T5	16S_A08T6	16S_A08T7	16S_A08T8	16S_A09T1	16S_A09T2	16S_A09T3	16S_A09T4	16S_A09T5	16S_A09T6	16S_A09T7	16S_A09T8	16S_A10T1	16S_A10T2	16S_A10T3	16S_A10T4	16S_E01T1	16S_E01T2	16S_E01T3	16S_E01T4	16S_E01T5	16S_E01T6	16S_E01T7	16S_E01T8	16S_E02T1	16S_E02T2	16S_E02T3	16S_E02T4	16S_E02T5	16S_E02T6	16S_E02T7	16S_E02T8	16S_E03T1	16S_E03T2	16S_E03T3	16S_E03T4	16S_E03T5	16S_E03T6	16S_E03T7	16S_E03T8	16S_E04T1	16S_E04T2	16S_E04T3	16S_E04T4	16S_E04T5	16S_E04T6	16S_E04T7	16S_E04T8	16S_E05T1	16S_E05T2	16S_E05T3	16S_E05T4	16S_E05T5	16S_E05T6	16S_E05T7	16S_E05T8	16S_E06T1	16S_E06T2	16S_E06T3	16S_E06T4	16S_E06T5	16S_E06T6	16S_E06T7	16S_E07T1	16S_E07T2	16S_E07T3	16S_E07T4	16S_E07T5	16S_E07T6	16S_E07T7	16S_E08T1	16S_E08T2	16S_E08T3	16S_E08T4	16S_E09T1	16S_E09T2	16S_E09T3	16S_E09T4	16S_E09T5	16S_E09T6	16S_E09T7	16S_E09T8	16S_E10T1	16S_E10T2	16S_E10T3	16S_E10T4	16S_E10T5	16S_E10T6	16S_E10T7	16S_E10T8	16S_I01T1	16S_I01T2	16S_I01T3	16S_I01T4	16S_I01T5	16S_I01T6	16S_I01T7	16S_I01T8	16S_I02T1	16S_I02T2	16S_I02T3	16S_I02T4	16S_I02T5	16S_I02T6	16S_I02T7	16S_I02T8	16S_I03T1	16S_I03T2	16S_I03T3	16S_I03T4	16S_I03T5	16S_I03T6	16S_I03T7	16S_I03T8	16S_I04T1	16S_I04T2	16S_I05T1	16S_I05T2	16S_I05T3	16S_I05T4	16S_I05T5	16S_I05T6	16S_I05T7	16S_I05T8	16S_I06T1	16S_I06T2	16S_I06T3	16S_I06T4	16S_I06T5	16S_I06T6	16S_I06T7	16S_I06T8	16S_I07T1	16S_I07T2	16S_I07T3	16S_I07T4	16S_I07T5	16S_I07T6	16S_I07T7	16S_I07T8	16S_I08T1	16S_I08T2	16S_I08T3	16S_I08T4	16S_I08T5	16S_I08T6	16S_I08T7	16S_I08T8	16S_I09T1	16S_I09T2	16S_I09T3	16S_I09T4	16S_I09T5	16S_I09T6	16S_I09T7	16S_I09T8	16S_I10T1	16S_I10T2	16S_I10T3	16S_I10T4	16S_I10T5	16S_I10T6	16S_I10T7	16S_I10T8
p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium	240	793	5557	5449	2262	25355	5764	13998	3838	14201	5016	249	328	4746	1716	160	5750	8139	12151	9124	3563	27191	14546	5070	6959	14170	7686	6387	17596	183418	6484	1024	8098	3644	916	16481	30	33864	1842	10743	6894	2929	1191	5033	5878	8999	2617	5371	6626	8307	1361	429	1100	57	4142	9232	1843	22305	64	356	1581	5997	9442	3639	2474	16664	4481	1139	2694	541	946	1338	2877	9325	2785	2405	8029	16344	681	1538	882	3725	4511	17963	16308	16687	1535	4477	1853	5003	4499	9844	11439	37099	878	944	2445	10135	4426	6590	5754	37499	268	3407	2409	5461	9993	7404	2875	5520	6089	5084	2858	2822	5954	7538	7731	6671	11809	2378	4953	20036	10924	10074	4204	10694	4254	17476	3938	7377	1287	7584	8381	9118	6846	16256	3828	9441	2438	7203	12427	12345	8293	9146	8194	254	19314	16113	9570	4975	15660	33175	4154	997	10626	9395	3555	22233	9528	10671	1695	2017	491	2961	1567	1093	1732	4663	717	5758	290	1588	14304	6300	11609	10639	5432	2943	1580	1469	5752	7333	14544	12151	12551	17354	2713	2232	4947	2182	450	4763	7286	7867	4491	9876	10040	9326	7876	10774	3968	14670	7098	10485	13755	4371	1771	4178	1299	15915	5959	6648	2194	7849	2947	10795	12699	3642
p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Subdoligranulum	457	2421	306	1608	638	2090	3705	5886	3591	3389	1764	6681	449	16455	40092	7284	1188	369	1475	1048	663	4675	3762	3493	1824	3177	528	780	1653	27032	2703	8065	2608	1303	1359	9898	4321	5361	3656	6259	4290	4927	3793	6148	1251	2402	823	13006	8670	6105	2	3	3	2	2	16	17	6	1441	6020	762	2590	3285	4618	1291	11634	3958	2077	3153	3342	1438	666	2027	600	220	15726	4299	22916	1105	262	572	563	506	1545	2615	6034	545	1443	431	1297	890	1161	1651	9502	792	1332	245	700	1376	9515	9774	3934	706	677	744	1131	190	903	377	1094	525	645	660	2975	3876	7403	13073	2292	4341	2249	6709	7431	14383	15871	317	279	197	893	622	1384	218	1567	10115	5824	5492	5432	329	1082	314	1967	2324	2335	2032	3561	0	4	26	8072	3835	38226	5646	17	1233	1421	3209	2812	99	2191	7383	14105	690	359	140	253	216	314	937	1376	1	11	777	3489	980	442	2728	13136	5473	482	427	1165	8382	630	4474	11574	4075	664	2542	42471	3995	1486	18272	3084	6	2340	2661	4713	1002	1308	7883	2154	3151	1935	613	4789	2271	4807	1152	1899	409	6277	3297	1007	3702	2664	647	2008	1986	2178
p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium	5975	21109	1995	3730	2160	860	7969	8799	2121	8834	2511	5480	3701	8340	2779	5515	4617	2513	701	2857	3514	3794	2698	750	133	526	74	862	526	1144	5326	1482	3183	1893	2305	19115	7	24803	8148	6824	3799	3837	5983	6281	2200	4428	3605	20351	5734	6324	339	1524	1124	1322	2068	13019	4323	4270	2000	3823	115	1278	2422	3907	1460	2706	513	450	1805	1821	1198	2113	1336	6823	2070	13905	5071	27303	7523	2808	2406	2224	4501	6848	6196	15634	40	67	191	699	1165	22	553	23769	455	60	0	27	52	447	2207	202	878	920	319	1474	2254	3300	1261	3051	348	115	291	806	445	608	2572	962	1774	1317	645	2847	1890	5783	431	2363	386	4868	373	669	115	1030	6286	7547	2055	3398	2577	6181	1864	8565	10110	15137	4574	8184	44	1	10459	12297	3706	16055	2968	19503	5488	1508	2231	12115	6007	10469	12915	5512	1852	6772	10267	20178	17834	12461	11969	18206	3166	355	2588	8808	6871	12044	12039	11259	7169	985	948	368	2625	4105	2687	5818	2720	5233	2685	20387	4035	6572	11024	4223	4223	4185	1913	3334	4351	6262	10534	2001	6464	5867	2354	6790	1167	8905	1559	6576	9798	2281	3584	4571	5296	3293	2656	6329	4027	3226
p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella	802	2461	1318	2236	680	2468	3883	2592	822	359	325	788	2919	4470	150	1102	419	445	361	41	624	686	578	3650	705	2633	267	1234	1266	29315	2773	217	871	459	492	3422	1	8633	2237	1645	431	529	4	0	0	0	0	3	1	1	2094	5582	2192	4092	7487	8403	11437	3707	2538	5937	167	1778	1337	2845	287	798	1334	1647	695	1204	0	0	132	0	1080	3214	3448	8740	1110	302	334	101	507	401	2021	2900	394	19	51	207	96	5	648	5289	0	2	0	0	0	2	0	2	593	954	548	876	662	1971	1391	2241	0	0	0	0	1	7	12	443	1143	533	1048	1381	2030	4410	447	512	255	1219	75	261	85	413	2764	1646	1946	3515	107	299	422	848	880	4055	3437	5129	0	0	3	0	0	12	1	17852	2424	390	2294	212	1022	1420	2679	970	1126	1016	1903	2039	2429	5049	4556	4030	559	0	64	48	92	20	116	2398	1250	115	238	17	1149	498	417	1208	726	1827	427	597	536	642	2094	5190	14	1439	0	0	500	189	573	658	1068	664	463	3734	1426	5377	958	3	1378	1824	2019	2565	5995	1240	413	3835	2294	3225
p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__NA	5901	7940	9363	4994	2089	8435	7237	10224	14492	19691	8749	2023	319	14467	3383	9848	6854	9425	11893	6169	3310	11110	6589	7217	11193	14076	4092	4657	9511	97934	5417	9343	6621	2216	1166	9032	5187	17223	13034	28244	6713	6899	5451	8795	2991	4619	1537	10281	8265	8678	12095	21004	19867	10162	11151	30459	21956	26792	7480	12568	3570	4487	3582	4340	5070	14559	6715	7406	7041	3876	5088	5408	3618	3197	3025	14862	14163	33918	3135	1382	1961	2470	2933	7971	10730	10732	3272	4723	1845	5385	3904	13654	13037	41723	3751	7979	3978	3722	4589	17457	9753	10542	2390	6781	4087	4172	6873	8430	6577	4952	4589	4387	4367	4379	3062	16660	9548	2525	8919	2958	3676	4024	5393	4543	4496	8667	2688	6250	2026	6475	822	4060	5178	5098	5001	12558	4125	7923	2464	7312	7622	17181	9579	19505	1829	9965	14253	3670	4041	926	18092	17141	2496	3014	6316	3055	1915	5831	11675	6441	2407	5938	2574	5488	4280	7687	8225	6581	1361	6124	746	4479	22212	2767	10568	7874	8197	1809	1038	1852	14115	5475	16892	14312	7721	6395	2118	14461	13705	11883	3278	20813	21147	3829	6029	10332	19110	6538	9917	2132	4554	7473	5934	14457	20485	1162	2422	9065	5606	7679	4826	14988	5148	5690	3371	12303	11176	3337
p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	419	293	12448	11111	6257	11507	2263	11007	4936	18142	11033	7811	4581	7899	455	5578	1459	10069	6947	9473	2763	12209	6293	2697	7077	7212	5030	1354	7538	149940	7498	2837	13863	5688	8363	9930	13953	34507	1290	6319	6167	2547	456	3327	5051	7785	4645	3209	5323	7451	7987	9292	19663	7870	16751	10336	23076	37019	10016	10148	1788	12792	14003	15771	8864	36679	4388	2204	917	3339	301	398	1339	8001	2580	2253	6949	23689	165	75	603	2187	2467	6003	4803	5119	950	3103	719	5495	2115	2417	8033	34698	1058	4761	3385	13606	8949	19463	9574	29039	149	2012	686	3920	5139	2733	6083	2161	7311	9307	4666	2376	4723	19082	661	5017	9166	360	2832	11924	2880	2503	2889	7292	3428	12599	4936	8286	1236	2812	5357	18765	7567	23345	5818	14362	2738	23032	13856	2803	18892	22765	5362	1777	2674	4454	2303	849	14216	43535	437	2095	12347	5933	8434	10861	11994	1495	1111	1429	1301	5534	1778	244	1574	2188	3967	14146	389	7391	11175	11167	24443	28364	11846	2591	2778	384	4963	9017	21182	13198	15200	13871	2788	2085	5531	10982	2442	8803	12424	8959	11195	9163	13708	13256	19382	8101	6140	15768	12420	6069	16911	25228	5068	8804	8915	11790	3529	6982	4978	16149	3668	11941	14786	481
p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes	66	175	582	646	587	2415	377	1244	89	101	159	467	88	320	216	1871	168	376	628	1062	380	2866	1804	324	779	585	1263	503	1325	36966	903	1490	734	1440	2386	6897	16943	4547	1043	2230	2058	2324	99	424	380	596	485	761	1405	544	644	603	415	1476	4251	4032	1162	5859	3790	3130	549	4225	9850	9967	1938	26810	1829	203	376	606	18	4	219	944	101	18	2479	7919	1492	627	933	1576	2008	5335	3915	5919	302	491	119	870	318	2117	1925	6447	622	672	486	5622	2826	9332	9736	21642	24	206	75	590	492	287	623	1015	777	604	397	914	1327	5694	778	532	936	34	2847	6727	12638	4493	330	564	299	3185	848	1582	273	3072	9975	7955	4769	6459	793	2304	361	2842	5524	1416	2865	8905	0	1	467	8927	3680	6703	4137	14374	203	631	1758	596	1348	1644	271	284	191	7241	539	1855	7457	29	745	1256	1520	1393	23	658	650	847	5459	5863	3306	442	694	154	1633	3309	3223	4301	2849	2319	485	11019	7454	1237	6038	255	16	5499	2305	1846	1045	740	3670	4278	4358	5260	770	678	2293	20086	1916	3612	8181	1187	1954	1229	3060	4821	643	1695	3748	1364
p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus	3708	11708	15	1	0	2554	3	16	1896	4297	4932	6985	333	3220	22519	26460	1357	3694	3090	1753	716	3003	2040	862	2799	1835	342	702	2419	35883	3598	1014	1194	1089	559	3410	1168	621	2846	3799	2461	3635	2854	4118	1163	2575	439	9563	3958	3102	0	2	1	0	0	7	9	7	1224	6592	531	2472	1523	5800	1804	8652	3317	1550	3760	2272	118	4	996	1	616	207	13847	9166	1949	463	549	894	865	1658	5922	4204	603	401	50	161	357	212	1788	2732	2	0	0	1995	1626	7853	14399	1156	1568	803	769	544	1428	723	1629	1647	1	105	1120	2238	3764	7101	8669	1400	2854	2273	4432	2793	21357	12705	526	982	517	1716	499	2934	172	1059	1442	3487	2859	3335	2072	3270	1065	4689	3395	2	4543	17401	899	37	13301	1703	1831	639	4954	6227	1566	1607	1153	1410	1731	2580	1581	4070	387	136	29	1164	65	43	2021	1053	2803	13	1975	3087	13053	664	6267	4436	2472	863	740	995	13449	330	3045	5011	2283	8788	222	11847	603	479	22013	2236	11	6177	3109	4192	9605	655	4699	1957	6893	4353	624	3988	3214	3990	1187	6	8032	1610	4007	4488	13544	2982	1150	3403	4871	3138
p__Firmicutes;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium	103	517	2031	1846	355	2412	725	1986	553	1039	514	226	129	622	44	59	23	607	901	764	138	2315	1133	751	901	1615	939	1253	1727	34429	2	0	1	1	0	0	0	7	289	998	1019	1110	593	1649	610	1637	306	3361	3743	2002	6	1	5	0	1	2	6	15	117	76	18	510	210	864	536	3649	1410	1132	710	490	0	0	0	1	0	5	0	9	93	15	26	645	293	736	451	574	0	3	1	0	1	0	2	19	375	1237	362	2031	928	5227	2651	13726	895	1076	1122	2947	4239	4443	4186	10224	390	572	352	1721	298	2787	10313	380	726	152	1028	158	3374	3322	24	32	5	20	33	100	12	45	275	54	140	351	0	2	0	0	0	1043	0	3	0	0	1	0	0	0	0	3	0	0	331	307	151	152	3	133	11	25	16	7	37	2	18	10	1	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	8	709	17269	2265	26	645	50	7276	2805	1	3	0	0	1	1	0	5	1680	494	1621	259	1036	1660	1552	324	1	0	0	1	0	1	0	3
p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia	0	0	4	6415	0	293	0	0	0	0	0	1	0	3	0	0	8	444	5	281	126	0	3	0	0	97	1	0	189	109	2	1731	5	47	1314	2475	3	2200	644	2374	1073	617	0	3	1	1	0	2	6	3	51	636	247	1153	1880	1813	170	266	3019	3900	316	927	306	1970	2182	4612	794	294	190	127	1	1	91	0	7	117	221	17571	0	11	20	2393	565	70	962	1112	585	1360	460	1114	2113	4	1213	5213	0	0	0	0	0	0	0	4	126	633	205	954	1831	1010	563	385	142	756	35	220	49	298	94	3	14	1	5	30	12	2	98	0	1	0	251	137	9	278	561	179	69	54	63	16	3	6207	2062	0	8	72	0	0	9	0	2	1078	320	0	35	5	66	3945	108	515	3	696	13	207	9	30	19	21	5	156	427	0	3	47	20	8	889	182	134	1	2247	319	582	6334	10	114	866	66	154	1010	1403	4	429	0	1951	1698	3882	230	1310	14	1	0	3557	6164	2800	65	50	8914	2	29119	2532	426	15	50	1326	3070	25	76	540	247
