Taxon	16S_A01T1	16S_A01T2	16S_A01T3	16S_A01T4	16S_A01T5	16S_A01T6	16S_A01T7	16S_A01T8	16S_A02T1	16S_A02T2	16S_A02T3	16S_A02T4	16S_A02T5	16S_A02T6	16S_A02T7	16S_A02T8	16S_A03T1	16S_A03T2	16S_A03T3	16S_A03T4	16S_A03T5	16S_A03T6	16S_A03T7	16S_A04T1	16S_A04T2	16S_A04T3	16S_A04T4	16S_A04T5	16S_A04T6	16S_A04T8	16S_A05T1	16S_A05T2	16S_A05T3	16S_A05T4	16S_A05T5	16S_A05T6	16S_A05T7	16S_A05T8	16S_A06T1	16S_A06T2	16S_A06T3	16S_A06T4	16S_A07T1	16S_A07T2	16S_A07T3	16S_A07T4	16S_A07T5	16S_A07T6	16S_A07T7	16S_A07T8	16S_A08T1	16S_A08T2	16S_A08T3	16S_A08T4	16S_A08T5	16S_A08T6	16S_A08T7	16S_A08T8	16S_A09T1	16S_A09T2	16S_A09T3	16S_A09T4	16S_A09T5	16S_A09T6	16S_A09T7	16S_A09T8	16S_A10T1	16S_A10T2	16S_A10T3	16S_A10T4	16S_E01T1	16S_E01T2	16S_E01T3	16S_E01T4	16S_E01T5	16S_E01T6	16S_E01T7	16S_E01T8	16S_E02T1	16S_E02T2	16S_E02T3	16S_E02T4	16S_E02T5	16S_E02T6	16S_E02T7	16S_E02T8	16S_E03T1	16S_E03T2	16S_E03T3	16S_E03T4	16S_E03T5	16S_E03T6	16S_E03T7	16S_E03T8	16S_E04T1	16S_E04T2	16S_E04T3	16S_E04T4	16S_E04T5	16S_E04T6	16S_E04T7	16S_E04T8	16S_E05T1	16S_E05T2	16S_E05T3	16S_E05T4	16S_E05T5	16S_E05T6	16S_E05T7	16S_E05T8	16S_E06T1	16S_E06T2	16S_E06T3	16S_E06T4	16S_E06T5	16S_E06T6	16S_E06T7	16S_E07T1	16S_E07T2	16S_E07T3	16S_E07T4	16S_E07T5	16S_E07T6	16S_E07T7	16S_E08T1	16S_E08T2	16S_E08T3	16S_E08T4	16S_E09T1	16S_E09T2	16S_E09T3	16S_E09T4	16S_E09T5	16S_E09T6	16S_E09T7	16S_E09T8	16S_E10T1	16S_E10T2	16S_E10T3	16S_E10T4	16S_E10T5	16S_E10T6	16S_E10T7	16S_E10T8	16S_I01T1	16S_I01T2	16S_I01T3	16S_I01T4	16S_I01T5	16S_I01T6	16S_I01T7	16S_I01T8	16S_I02T1	16S_I02T2	16S_I02T3	16S_I02T4	16S_I02T5	16S_I02T6	16S_I02T7	16S_I02T8	16S_I03T1	16S_I03T2	16S_I03T3	16S_I03T4	16S_I03T5	16S_I03T6	16S_I03T7	16S_I03T8	16S_I04T1	16S_I04T2	16S_I05T1	16S_I05T2	16S_I05T3	16S_I05T4	16S_I05T5	16S_I05T6	16S_I05T7	16S_I05T8	16S_I06T1	16S_I06T2	16S_I06T3	16S_I06T4	16S_I06T5	16S_I06T6	16S_I06T7	16S_I06T8	16S_I07T1	16S_I07T2	16S_I07T3	16S_I07T4	16S_I07T5	16S_I07T6	16S_I07T7	16S_I07T8	16S_I08T1	16S_I08T2	16S_I08T3	16S_I08T4	16S_I08T5	16S_I08T6	16S_I08T7	16S_I08T8	16S_I09T1	16S_I09T2	16S_I09T3	16S_I09T4	16S_I09T5	16S_I09T6	16S_I09T7	16S_I09T8	16S_I10T1	16S_I10T2	16S_I10T3	16S_I10T4	16S_I10T5	16S_I10T6	16S_I10T7	16S_I10T8
p__Firmicutes	18530	51851	26217	19690	8795	67504	26703	45428	32200	68795	31004	24326	2445	51053	81762	68969	25162	36444	40166	30400	14193	69943	40326	31007	39271	57212	23886	21408	54404	619417	26394	35257	34157	14191	10122	54697	28877	99514	36925	88402	41997	32517	27260	49223	23478	38246	12881	75100	65819	57743	21759	34373	31473	14414	24151	55004	42054	78678	16456	40636	10241	30225	30082	31896	21911	111609	32406	17798	26643	26317	16066	15908	15568	23695	11609	74227	53457	111521	23181	8968	10095	32904	23058	55158	68352	82274	13970	23405	8359	25614	22130	50849	48671	141567	12308	26293	12751	27317	22908	74332	75905	97267	13219	33186	22178	37802	53230	48922	52029	56332	18708	16740	14217	20636	22494	74952	73583	24427	45992	15556	34560	54629	78060	72049	14750	30239	13742	44434	16308	40365	4995	28022	65310	57137	58215	100396	18512	42434	12020	48236	49821	64596	51493	138671	18142	25463	68672	45067	30968	75177	69042	104184	12211	15382	35491	24732	15219	60102	48935	47247	14700	37025	23314	32326	28770	22550	39271	37116	9783	19932	7839	30477	68615	15674	57675	71161	48954	9394	7528	8787	62218	31137	59127	71677	50984	48875	10968	113401	50936	23957	60271	88710	63930	36640	26941	46713	55509	25544	51355	25066	35229	46044	24273	47445	61369	24204	12029	26541	37768	40006	25460	44078	38837	33163	12989	45191	47324	18627
p__Actinobacteriota	7180	25120	3393	6129	2987	4828	12571	12030	3410	9510	2917	6775	7011	13816	3704	8252	5267	3436	1383	3120	4747	5486	4066	5271	1061	3371	393	2298	2994	39863	8325	1932	4595	2543	3380	24234	1553	34280	11231	9945	4915	4720	7018	7010	2453	4788	3802	21164	6701	7223	3142	9167	4464	6241	10999	25377	16639	9770	4987	13332	335	3558	4204	7612	1905	5071	2282	2220	2644	3201	1312	2677	1803	7044	3357	17872	9687	36851	9356	3375	2935	2530	5253	7765	9291	22284	659	281	282	1094	1520	452	2406	35520	824	663	493	356	464	3742	6001	3982	1903	2502	1242	2940	3424	6290	3292	6790	855	527	503	2032	1928	4085	7917	1599	3294	2113	4058	5363	7444	13883	1016	3162	794	7224	562	1151	238	1563	10544	10143	4675	8526	2755	6748	2462	9683	11337	20496	8504	15147	193	172	10990	12499	3897	17401	3650	38409	8114	2082	5433	16949	7537	13623	16418	7132	3686	9111	13073	23097	21243	18766	18879	24030	3825	497	3579	9336	7127	12566	12741	14342	8850	1140	1223	396	3985	4708	3159	7327	3575	7230	3147	21692	4798	7358	13819	9878	8076	5972	2183	3674	4961	6508	11254	2791	7729	6812	3026	10691	3011	14781	2658	7854	12150	4428	5773	7283	11508	4827	3131	10342	6485	6690
p__Bacteroidota	601	663	24962	17615	8170	32813	4229	17385	6920	21224	14137	11556	5516	9793	885	9375	2872	16347	14888	18904	6456	27689	15754	5379	11912	20938	15188	9611	21784	325014	10078	8650	17964	9332	14951	19725	36534	51853	2745	10346	9641	5836	1728	6053	9690	14521	8436	8743	13322	15138	12415	12914	27110	11687	29418	22450	29623	54516	15059	14171	2558	19258	27239	30234	12074	76786	7738	2577	1540	4468	346	492	2386	14916	3274	2588	12016	46147	4040	3230	5744	17163	14639	35898	28823	33835	8127	15181	6723	24338	17653	36257	36954	128061	2604	6249	4570	23675	13955	31595	24641	60489	1446	9705	10769	34884	42992	33176	31364	18091	15013	15573	9302	6804	11196	45225	1992	10707	19464	1107	9488	41016	19088	10855	4744	12194	6581	33194	7947	13365	2041	10556	26040	37638	21767	41468	7796	19931	3559	32479	25912	7449	26830	42696	5366	1787	3148	13393	5992	7611	18369	58072	758	3698	16074	7158	10677	13472	13301	2273	11297	19140	11145	20804	35263	20198	24111	11629	6660	15995	505	9304	12266	12956	33016	36142	17293	3477	4640	847	9090	15253	28908	23799	22852	29586	3983	17986	18149	13472	11231	9490	12677	18065	16663	12810	16611	14977	27999	18456	15465	23579	14658	8568	20820	51636	8032	15765	20061	16705	8238	9648	10855	27080	4962	15847	23148	2383
p__Verrucomicrobiota	1	0	7	6415	8	294	3	16	0	0	0	1	0	3	0	1	11	444	5	281	126	0	3	0	1	99	4	0	190	125	2	1732	8	47	1323	2475	36	2208	646	2387	1100	635	0	11	5	4	5	2	13	5	51	638	254	1158	1880	1814	170	266	3019	3900	316	927	324	1983	2190	4656	820	294	207	155	1	1	91	0	7	117	221	17571	8	15	26	2482	577	131	994	1130	601	1367	472	1284	2125	57	1307	5214	0	0	0	1	0	0	0	4	126	639	210	1052	1902	1014	661	415	154	803	53	220	49	316	94	22	25	1	7	43	13	4	98	0	6	3	254	141	12	280	562	181	90	131	73	25	5	6229	2067	0	20	78	0	0	9	0	2	1078	320	0	35	11	66	3945	128	519	4	696	13	207	9	30	19	21	5	156	427	0	3	47	20	8	889	182	134	1	2247	319	582	6351	12	114	880	70	154	1010	1403	4	429	0	1951	1698	3882	230	1310	14	1	0	3557	6168	2800	65	50	8914	2	29120	2532	426	15	81	1345	3179	40	82	568	252
p__Proteobacteria	13	98	1220	1531	234	86	300	3311	192	1010	755	206	542	75	244	1650	73	714	5	591	29	277	75	45	218	172	731	6	45	3103	123	442	930	334	202	261	16	1367	104	533	504	358	21	208	286	306	125	80	425	448	666	4108	1719	1099	1071	165	1566	2661	106	165	58	189	136	221	217	1420	213	38	132	155	354	576	295	425	583	411	1845	1657	732	128	91	977	313	601	2218	5462	32	116	37	170	368	602	759	125	101	8	2	45	105	25	361	16724	140	485	413	2664	2596	1701	1581	4232	250	209	172	91	28	59	599	389	478	8	102	4867	91	76	5047	2115	304	875	174	720	69	228	201	884	532	2836	346	463	154	4412	683	847	765	558	169	2	517	198	182	258	723	1368	95	7684	1261	9961	229	841	2148	46	100	188	898	415	654	386	163	611	61	1356	3017	6153	385	285	673	231	204	61	70	8	299	144	1222	1329	776	807	374	335	745	21955	393	1874	631	382	479	340	680	413	1009	115	591	2119	329	1681	689	931	242	1385	2964	2433	162	399	542	2057	267	712	414	148
p__Euryarchaeota	1	0	0	0	0	338	1	0	1	0	4	6	4	16	83	30	0	0	0	1	0	3	0	0	9	0	6	9	274	554	119	966	88	138	2121	1198	4303	394	0	0	0	0	492	442	158	368	311	2165	1209	524	0	0	0	0	1	13	3	0	249	2288	38	1106	989	3020	229	1152	0	0	0	0	0	0	0	0	0	1	0	1	114	13	29	60	157	51	29	161	192	332	28	53	405	5715	927	109	0	0	0	0	1	0	0	1	349	246	81	627	395	397	549	1416	0	0	0	2	0	0	10	12	4	0	85	47	629	344	0	3	8	75	58	98	12	340	4030	722	2171	236	8	23	0	62	132	0	61	281	0	0	0	0	0	1	0	0	0	2	8	1287	561	281	7	224	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1547	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p__Desulfobacterota	3	46	229	214	30	804	29	259	0	20	103	54	10	78	18	117	2	106	0	174	59	1	3	26	265	543	252	99	430	9533	26	231	127	137	158	522	0	575	360	914	766	798	24	160	52	80	78	131	494	114	132	201	678	273	1007	233	517	1142	0	0	27	295	278	291	714	3812	197	11	84	123	18	47	73	371	1010	61	1398	2893	258	100	161	657	288	792	1065	1463	193	598	76	499	322	1804	526	923	43	151	146	640	152	281	1744	2230	134	300	396	1024	1177	1212	1464	1945	141	106	41	48	41	517	287	115	284	5	72	100	295	540	28	89	24	108	52	53	11	58	248	846	262	279	122	349	91	667	811	38	463	2115	93	0	162	80	75	389	0	1	0	15	121	199	84	70	8	199	23	163	44	37	101	7	53	75	125	0	18	112	102	71	250	142	99	14	84	11	362	804	234	304	561	393	5	50	362	49	106	6	111	211	220	170	197	177	511	104	276	651	74	49	233	953	247	513	978	366	61	82	545	267	38	94	312	531
p__Cyanobacteria	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	1	1	4	120	0	0	131	13	77	10	0	0	22	116	8	34	0	0	0	0	0	0	0	0	0	14	1	4	120	36	30	0	0	0	0	12	4	4	3	357	151	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	24	0	26	0	43	2	0	11	0	0	1	0	9	6	29	174	158	25	281	160	0	0	0	0	2	79	0	0	0	0	0	0	0	0	0	0	0	0	4	16	1	45	8	125	16	333	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	15	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p__Synergistota	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	3	8	2	2	17	12	0	2	0	0	1	2	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	2	2	0	0	5	197	0	0	0	0	0	0	0	10	20	15	0	5	8	96	1	0	0	0	0	0	0	0	0	0	4	8	8	21	10	15	117	20	0	2	0	4	1	8	13	1	2	0	6	1	3	7	3	4	8	2	101	253	41	152	639	90	86	97	0	12	0	18	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p__Thermoplasmatota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	60	5	25	17	25	9	19	3	38	32	83	54	61	0	0	0	0	0	0	0	0	0	2	1	38	16	3	27	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
